Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R4,10k,R_0402_1005Metric,173.399788,-97.359405,90.0,bottom
R5,10k,R_0402_1005Metric,183.449942,-44.860006,0.0,bottom
R6,1k,R_0402_1005Metric,185.449942,-44.850007,0.0,bottom
R7,27,R_0402_1005Metric,176.574938,-41.850013,270.0,bottom
R8,27,R_0402_1005Metric,175.424941,-41.850003,270.0,bottom
R9,1k,R_0402_1005Metric,177.799936,-57.600002,90.0,bottom
R10,10k,R_0402_1005Metric,182.766012,-134.226309,90.0,bottom
R11,39,R_0402_1005Metric,169.200001,-127.500002,90.0,bottom
R12,5k1,R_0402_1005Metric,174.1,-22.175002,270.0,bottom
R13,5k1,R_0402_1005Metric,177.9,-22.175002,270.0,bottom
R14,10k,R_0402_1005Metric,168.200001,-133.299999,180.0,bottom
R15,10k,R_0402_1005Metric,169.999998,-66.0,90.0,bottom
R27,10k,R_0402_1005Metric,186.329294,-125.505125,0.0,bottom
R28,15k,R_0402_1005Metric,185.8,-126.559999,180.0,bottom
SW1,CPG151101S11,MXOnly-1U-Hotswap,57.927204,-42.744635,200.0,bottom
SW2,CPG151101S11,MXOnly-1U-Hotswap,51.411719,-60.645789,200.0,bottom
SW3,CPG151101S11,MXOnly-1U-Hotswap,44.896219,-78.546936,200.0,bottom
SW4,CPG151101S11,MXOnly-1U-Hotswap,38.380759,-96.448097,200.0,bottom
SW5,CPG151101S11,MXOnly-1U-Hotswap,31.865262,-114.349231,200.0,bottom
SW6,CPG151101S11,MXOnly-1U-Hotswap,76.642773,-47.022487,200.0,bottom
SW7,CPG151101S11,MXOnly-1U-Hotswap,70.127286,-64.923629,200.0,bottom
SW8,CPG151101S11,MXOnly-1U-Hotswap,63.611816,-82.824763,200.0,bottom
SW9,CPG151101S11,MXOnly-1U-Hotswap,57.096302,-100.725924,200.0,bottom
SW10,CPG151101S11,MXOnly-1U-Hotswap,50.58084,-118.627063,200.0,bottom
SW11,CPG151101S11,MXOnly-1U-Hotswap,96.172786,-49.062697,200.0,bottom
SW12,CPG151101S11,MXOnly-1U-Hotswap,89.6573,-66.963821,200.0,bottom
SW13,CPG151101S11,MXOnly-1U-Hotswap,83.141828,-84.864967,200.0,bottom
SW14,CPG151101S11,MXOnly-1U-Hotswap,76.626335,-102.766122,200.0,bottom
SW15,CPG151101S11,MXOnly-1U-Hotswap,70.110852,-120.667261,200.0,bottom
SW16,CPG151101S11,MXOnly-1U-Hotswap,115.431327,-51.848754,200.0,bottom
SW17,CPG151101S11,MXOnly-1U-Hotswap,108.915845,-69.749915,200.0,bottom
SW18,CPG151101S11,MXOnly-1U-Hotswap,102.400347,-87.651048,200.0,bottom
SW19,CPG151101S11,MXOnly-1U-Hotswap,95.884881,-105.552189,200.0,bottom
SW20,CPG151101S11,MXOnly-1U-Hotswap,98.317221,-136.001684,200.0,bottom
SW21,CPG151101S11,MXOnly-1U-Hotswap,131.975084,-62.093648,200.0,bottom
SW22,CPG151101S11,MXOnly-1U-Hotswap,125.459596,-79.994785,200.0,bottom
SW23,CPG151101S11,MXOnly-1U-Hotswap,118.944119,-97.895966,200.0,bottom
SW24,CPG151101S11,MXOnly-1U-Hotswap,112.428643,-115.79708,200.0,bottom
SW25,CPG151101S11,MXOnly-1U-Hotswap,117.866552,-146.157976,215.0,bottom
SW26,CPG151101S11,MXOnly-1U-Hotswap,148.790303,-71.592664,200.0,bottom
SW27,CPG151101S11,MXOnly-1U-Hotswap,142.274818,-89.493812,200.0,bottom
SW28,CPG151101S11,MXOnly-1U-Hotswap,135.759329,-107.394956,200.0,bottom
SW29,CPG151101S11,MXOnly-1U-Hotswap,129.243847,-125.296115,200.0,bottom
SW30,CPG151101S11,MXOnly-1U-Hotswap,134.000003,-161.000014,230.0,bottom
SW31,CPG151101S11,MXOnly-1U-Hotswap,203.20972,-71.592668,160.0,bottom
SW32,CPG151101S11,MXOnly-1U-Hotswap,209.725193,-89.493816,160.0,bottom
SW33,CPG151101S11,MXOnly-1U-Hotswap,216.240674,-107.394952,160.0,bottom
SW34,CPG151101S11,MXOnly-1U-Hotswap,222.756154,-125.296097,160.0,bottom
SW35,CPG151101S11,MXOnly-1U-Hotswap,218.000012,-161.000007,130.0,bottom
SW36,CPG151101S11,MXOnly-1U-Hotswap,220.024937,-62.093676,160.0,bottom
SW37,CPG151101S11,MXOnly-1U-Hotswap,226.540429,-79.994815,160.0,bottom
SW38,CPG151101S11,MXOnly-1U-Hotswap,233.055922,-97.895951,160.0,bottom
SW39,CPG151101S11,MXOnly-1U-Hotswap,239.571395,-115.797099,160.0,bottom
SW40,CPG151101S11,MXOnly-1U-Hotswap,234.133454,-146.157961,145.0,bottom
SW41,CPG151101S11,MXOnly-1U-Hotswap,236.568687,-51.848765,160.0,bottom
SW42,CPG151101S11,MXOnly-1U-Hotswap,243.084163,-69.749911,160.0,bottom
SW43,CPG151101S11,MXOnly-1U-Hotswap,249.599644,-87.651047,160.0,bottom
SW44,CPG151101S11,MXOnly-1U-Hotswap,256.115141,-105.55218,160.0,bottom
SW45,CPG151101S11,MXOnly-1U-Hotswap,253.682794,-136.001682,160.0,bottom
SW46,CPG151101S11,MXOnly-1U-Hotswap,255.827222,-49.062699,160.0,bottom
SW47,CPG151101S11,MXOnly-1U-Hotswap,262.342719,-66.963837,160.0,bottom
SW48,CPG151101S11,MXOnly-1U-Hotswap,268.858199,-84.864979,160.0,bottom
SW49,CPG151101S11,MXOnly-1U-Hotswap,275.373676,-102.766136,160.0,bottom
SW50,CPG151101S11,MXOnly-1U-Hotswap,281.889165,-120.667278,160.0,bottom
SW51,CPG151101S11,MXOnly-1U-Hotswap,275.357247,-47.022498,160.0,bottom
SW52,CPG151101S11,MXOnly-1U-Hotswap,281.872729,-64.923629,160.0,bottom
SW53,CPG151101S11,MXOnly-1U-Hotswap,288.388211,-82.824773,160.0,bottom
SW54,CPG151101S11,MXOnly-1U-Hotswap,294.903694,-100.725926,160.0,bottom
SW55,CPG151101S11,MXOnly-1U-Hotswap,301.419185,-118.627073,160.0,bottom
SW56,CPG151101S11,MXOnly-1U-Hotswap,294.072815,-42.744653,160.0,bottom
SW57,CPG151101S11,MXOnly-1U-Hotswap,300.588293,-60.645786,160.0,bottom
SW58,CPG151101S11,MXOnly-1U-Hotswap,307.103778,-78.546922,160.0,bottom
SW59,CPG151101S11,MXOnly-1U-Hotswap,313.619264,-96.448086,160.0,bottom
SW60,CPG151101S11,MXOnly-1U-Hotswap,320.13474,-114.349223,160.0,bottom
SW61,CPG151101S11,MXOnly-1U-Hotswap,154.640003,-174.089985,195.0,bottom
SW62,CPG151101S11,MXOnly-1U-Hotswap,176.000016,-176.909993,180.0,bottom
SW63,CPG151101S11,MXOnly-1U-Hotswap,197.360003,-174.090004,165.0,bottom
SW64,Encoder,PER60,176.0,-131.0,180.0,top
SW65,USB Boot,SW_DIP_SPSTx01_Slide_6.7x4.1mm_W8.61mm_P2.54mm_LowProfile,175.974999,-82.025008,0.0,bottom
SW66,Reset,SW_SPST_TL3342,175.975007,-76.400002,180.0,bottom
U1,AMS1117-3.3,SOT-223-3_TabPin2,166.749997,-35.999376,0.0,bottom
U2,W25Q128JVS,SOIC-8_5.23x5.23mm_P1.27mm,185.144237,-40.725144,270.0,bottom
U3,RP2040,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm_ThermalVias,177.19993,-48.600007,0.0,bottom
U4,PMW3360DM-T2QU,IC_PMW3360DM-T2QU,176.016,-131.476321,0.0,bottom
U5,SRV05-4,SOT-23-6,175.999998,-30.699375,90.0,bottom
U6,AP2127K-ADJ,SOT-23-5,185.919303,-122.87514,90.0,bottom
U7,74LVC1T45,SOT-363_SC-70-6,185.55,-108.155,270.0,bottom
Y1,12MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,180.099941,-57.6,270.0,bottom
